LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL
1_2_LE07_024030_20130514,9086,2013-05-14,-99,205,133,209,97,41,44,2886,-99,l7,66,0,2013,497
1_2_LE07_024030_20130818,9086,2013-08-18,-99,306,228,493,144,15.5,16,2939,-99,l7,66,0,2013,532
1_2_LE07_024030_20130903,9086,2013-09-03,-99,227,173,379,125.5,17,22,2939,-99,l7,66,0,2013,535
1_2_LE07_024030_20131122,9086,2013-11-22,-99,461.5,285,400,176,61,43,2778,-99,l7,66,0,2013,487
1_2_LE07_024030_20140704,9086,2014-07-04,-99,243.5,186,370,204,71,60,2929,-99,l7,66,0,2014,531
1_2_LE07_024030_20140906,9086,2014-09-06,-99,195,126,244,138,40,20,2924,-99,l7,66,0,2014,510
1_2_LE07_024030_20140922,9086,2014-09-22,-99,178,122,235,78,21,25,2886,-99,l7,66,0,2014,516
1_2_LE07_024030_20141008,9086,2014-10-08,-99,251,159,277,147,86,60,2853,-99,l7,66,0,2014,501
1_2_LE07_024030_20150317,9086,2015-03-17,-99,699,572,697,399,51,54,2716,-99,l7,66,0,2015,497
1_2_LE07_024030_20150418,9086,2015-04-18,-99,308,238,326,212,111,93,2796,-99,l7,66,0,2015,503
1_2_LE07_024030_20150621,9086,2015-06-21,-99,490,479,659,488,311,264,2908,-99,l7,66,0,2015,548
1_2_LE07_024030_20150723,9086,2015-07-23,-99,304,204,443,144,39,35,2945,-99,l7,66,0,2015,522
1_2_LE07_024030_20150909,9086,2015-09-09,-99,188,122,266,109,18,22,2934,-99,l7,66,0,2015,518
1_2_LE07_024030_20151011,9086,2015-10-11,-99,237.5,159,253.5,124,24,29,2881,-99,l7,66,0,2015,500
1_2_LE07_024030_20151128,9086,2015-11-28,-99,439,337,421,284,178,141,2766,-99,l7,66,0,2015,492
1_2_LE07_024030_20160506,9086,2016-05-06,-99,402,274,403,267,111,83,2842,-99,l7,66,0,2016,496
1_2_LE07_024030_20160522,9086,2016-05-22,-99,339,212,365,258,87,36,2892,-99,l7,66,0,2016,500
1_2_LE07_024030_20160709,9086,2016-07-09,-99,348,320,427,293,209,177,2934,-99,l7,66,0,2016,540
1_2_LE07_024030_20160725,9086,2016-07-25,-99,319,267,390.5,254,166,134,2950,-99,l7,66,0,2016,526
1_2_LE07_024030_20160810,9086,2016-08-10,-99,608,379.5,634,324,125,81,2939,-99,l7,66,0,2016,498
1_2_LE07_024030_20160911,9086,2016-09-11,-99,203,119,242,149,43,23,2913,-99,l7,66,0,2016,505
1_2_LE07_024030_20161114,9086,2016-11-14,-99,361,263,362,213,78,42,2819,-99,l7,66,0,2016,496
1_2_LE07_024030_20170101,9086,2017-01-01,-99,540,305,457,204,45,-2,2703,-99,l7,66,0,2017,486
